Subject,CERiT,Simbad,ASAS-SN Photometry
24693994,https://wasp.cerit-sc.cz/search?objid=J005756.53%2B382631.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A57%3A56.53+%2B38%3A26%3A31.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A57%3A56.53&dec=%2B38%3A26%3A31.1&radius=2
24880301,https://wasp.cerit-sc.cz/search?objid=J004430.00%2B400759.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A44%3A30.00+%2B40%3A07%3A59.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A44%3A30.00&dec=%2B40%3A07%3A59.3&radius=2
24471003,No match,No match,No match
22110553,https://wasp.cerit-sc.cz/search?objid=J000834.81-221054.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A08%3A34.81+-22%3A10%3A54.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A08%3A34.81&dec=-22%3A10%3A54.8&radius=2
21814180,https://wasp.cerit-sc.cz/search?objid=J000050.16-284855.6&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A00%3A50.16+-28%3A48%3A55.6&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A00%3A50.16&dec=-28%3A48%3A55.6&radius=2
24579107,https://wasp.cerit-sc.cz/search?objid=J002523.21-573949.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A25%3A23.21+-57%3A39%3A49.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A25%3A23.21&dec=-57%3A39%3A49.0&radius=2
21813604,https://wasp.cerit-sc.cz/search?objid=J000006.51%2B352201.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A00%3A06.51+%2B35%3A22%3A01.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A00%3A06.51&dec=%2B35%3A22%3A01.1&radius=2
24886599,https://wasp.cerit-sc.cz/search?objid=J004540.15%2B363340.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A45%3A40.15+%2B36%3A33%3A40.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A45%3A40.15&dec=%2B36%3A33%3A40.3&radius=2
21814156,https://wasp.cerit-sc.cz/search?objid=J000049.23-284900.4&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A00%3A49.23+-28%3A49%3A00.4&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A00%3A49.23&dec=-28%3A49%3A00.4&radius=2
22780124,No match,No match,No match
