classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.aggregation_version,data.frame0.T0_tool0_x,data.frame0.T0_tool0_y,data.frame0.T0_tool1_x,data.frame0.T0_tool1_y,data.frame0.T0_tool2_x,data.frame0.T0_tool2_y
103851900,not-logged-in-0f05c4647072873256ef,,6465,T0,2018-04-27 13:07:49 UTC,20860277,point_extractor_by_frame,3.4.5,"[488.0551452636719, 711.9641723632812, 543.701171875, 417.8351745605469, 93.23332214355469, 219.09933471679688, 148.8793487548828, 107.80728149414062, 12.414088249206543, 906.7252807617188, 806.032470703125, 741.1121215820312, 754.3611450195312, 714.614013671875, 615.24609375, 876.25244140625, 855.053955078125, 295.94384765625, 242.9476318359375, 182.00198364257812, 122.38124084472656, 74.68464660644531, 24.338237762451172]","[495.78375244140625, 377.8671875, 304.99737548828125, 278.499267578125, 506.38299560546875, 355.3437805175781, 322.2211608886719, 310.2969970703125, 364.6181335449219, 381.8418884277344, 130.10986328125, 135.40948486328125, 130.10986328125, 107.58646392822266, 128.7849578857422, 130.10986328125, 100.9619369506836, 199.00494384765625, 175.15664672851562, 172.5068359375, 187.08079528808594, 189.73060607910156, 195.0302276611328]",,,,
104012965,briallen,1775431.0,6465,T0,2018-04-28 01:28:35 UTC,20860277,point_extractor_by_frame,3.4.5,"[693.8187866210938, 910.4415893554688, 475.6262512207031, 116.15800476074219, 12.55579948425293, 116.15800476074219, 155.40126037597656, 237.02723693847656, 411.2673034667969, 557.2522583007812, 809.9788208007812, 736.2014770507812, 525.8576049804688, 299.81646728515625]","[371.09405517578125, 377.37298583984375, 493.5330505371094, 520.2184448242188, 380.512451171875, 313.0140380859375, 319.29296875, 331.8507995605469, 283.1891784667969, 316.15350341796875, 137.20423889160156, 132.49505615234375, 192.14480590820312, 195.28427124023438]",[610.623046875],[641.0877075195312],"[459.928955078125, 687.5398559570312]","[556.322265625, 426.0346374511719]"
104197211,not-logged-in-1c030bffe6adcfbe7db9,,6465,T0,2018-04-28 20:56:16 UTC,20860277,point_extractor_by_frame,3.4.5,"[460.7984313964844, 693.236083984375, 554.7781982421875, 409.169921875, 904.7841796875, 637.6189575195312, 124.38949584960938, 223.48333740234375, 160.42974853515625, 109.07682800292969, 300.8377380371094, 321.6389465332031, 12.871337890625, 245.29119873046875, 223.41229248046875, 203.83642578125, 193.08889770507812, 173.89688110351562, 159.69479370117188, 182.7252197265625, 132.05825805664062, 115.93697357177734, 91.3711929321289, 81.3913345336914, 69.10845184326172, 28.805206298828125, 28.421363830566406, 606.58349609375, 530.1992797851562, 482.60308837890625, 682.9677734375, 695.2506713867188, 719.81640625, 638.1976928710938, 490.17425537109375, 469.3221130371094, 892.9564819335938, 880.7171630859375, 859.18505859375, 807.9612426757812, 805.4680786132812, 766.9368896484375, 753.5643310546875, 737.4718627929688, 933.64599609375, 954.4525756835938]","[487.41265869140625, 370.6555480957031, 300.4515380859375, 278.35028076171875, 372.8565979003906, 243.4992218017578, 509.3033447265625, 327.7568054199219, 317.3562316894531, 309.5557861328125, 193.84918212890625, 206.84991455078125, 358.3085632324219, 173.09982299804688, 172.7159881591797, 184.99887084960938, 172.7159881591797, 177.3220672607422, 187.30191040039062, 171.564453125, 183.46351623535156, 188.8372802734375, 189.60494995117188, 194.21104431152344, 189.60494995117188, 194.21104431152344, 232.59507751464844, 120.95857238769531, 189.66600036621094, 183.9084014892578, 159.3426055908203, 127.10002136230469, 108.67567443847656, 121.02919006347656, 198.39007568359375, 183.88421630859375, 119.5350341796875, 123.1614990234375, 99.36283874511719, 134.72085571289062, 118.17510986328125, 134.72085571289062, 127.01461791992188, 134.49420166015625, 130.767822265625, 168.36572265625]","[452.5252380371094, 683.59130859375, 215.03286743164062]","[546.5069580078125, 420.5007019042969, 375.85955810546875]",,
105994204,ZackM,1778606.0,6465,T0,2018-05-04 16:23:52 UTC,20860277,point_extractor_by_frame,3.4.5,"[10.96875, 110.96875, 119.96875, 156.96875, 225.96875, 478.96875, 698.96875, 561.96875, 417.96875, 915.96875]","[369, 510, 311, 322, 339, 489, 385, 308, 286, 384]",,,,
107440843,JBlundell,1740941.0,6465,T0,2018-05-13 15:47:20 UTC,20860277,point_extractor_by_frame,3.4.5,"[919.6333618164062, 680.6333618164062, 472.6333312988281, 578.6333618164062, 409.6333312988281, 535.6333618164062, 488.6333312988281, 643.6333618164062, 232.63333129882812, 164.63333129882812, 109.63333129882812, 4.633335113525391, 119.63333129882812, 64.63333129882812, 297.6333312988281, 329.6333312988281, 475.6333312988281, 610.6333618164062, 641.6333618164062, 728.6333618164062, 700.6333618164062, 730.6333618164062, 758.6333618164062, 803.6333618164062, 817.6333618164062, 859.6333618164062, 867.6333618164062, 894.6333618164062, 945.6333618164062, 243.63333129882812, 199.63333129882812]","[355.9666748046875, 366.9666748046875, 486.9666748046875, 289.9666748046875, 257.9666748046875, 182.96665954589844, 198.96665954589844, 242.96665954589844, 318.9666748046875, 304.9666748046875, 300.9666748046875, 368.9666748046875, 527.9666748046875, 188.96665954589844, 187.96665954589844, 205.96665954589844, 180.96665954589844, 125.96665954589844, 162.96665954589844, 102.96665954589844, 117.96665954589844, 137.96665954589844, 105.96665954589844, 110.96665954589844, 154.96665954589844, 91.96665954589844, 131.96665954589844, 114.96665954589844, 124.96665954589844, 178.96665954589844, 183.96665954589844]","[678.6333618164062, 450.6333312988281, 208.63333129882812, 408.6333312988281]","[420.9666748046875, 553.9666748046875, 379.9666748046875, 295.9666748046875]",,
108466951,Carecrow,1778887.0,6465,T0,2018-05-21 00:51:29 UTC,20860277,point_extractor_by_frame,3.4.5,,,,,,
113579163,Bear97,1796970.0,6465,T0,2018-06-08 13:47:11 UTC,20860277,point_extractor_by_frame,3.4.5,"[467.2851867675781, 698.8160400390625, 551.4782104492188, 232.43093872070312, 110.57259368896484, 14.193727493286133, 155.99252319335938, 112.78820037841797, 912.6220092773438, 414.11065673828125]","[465.96966552734375, 366.26739501953125, 299.7992248535156, 329.70989990234375, 503.6349792480469, 381.7766418457031, 316.416259765625, 310.8772277832031, 375.12982177734375, 276.53533935546875]","[458.4227600097656, 689.95361328125]","[546.8392944335938, 418.3341369628906]",,
113730286,Hussainj,1795081.0,6465,T0,2018-06-09 17:36:31 UTC,20860277,point_extractor_by_frame,3.4.5,"[882.1346435546875, 809.022705078125, 809.022705078125, 856.8778076171875, 859.536376953125, 903.403564453125, 947.270751953125, 769.1434326171875, 737.2400512695312, 733.2520751953125, 610.9557495117188, 535.1851196289062, 543.1610107421875, 709.3245239257812, 470.04901123046875, 406.2422180175781, 281.2872009277344, 236.09072875976562, 197.54078674316406, 160.3201446533203, 119.11157989501953, 103.15988159179688, 84.549560546875, 43.34099578857422, 100.50125885009766, 155.00291442871094, 240.0786590576172, 193.5528564453125, 22.07206153869629, 323.8250732421875]","[370.6485900878906, 112.76274871826172, 143.3368377685547, 100.7989730834961, 157.959228515625, 106.11620330810547, 144.66615295410156, 107.44551086425781, 153.9713134765625, 123.397216796875, 122.06790924072266, 185.8747100830078, 305.5124816894531, 371.9779052734375, 564.7276000976562, 301.5245361328125, 191.1919403076172, 139.3489227294922, 187.2040252685547, 169.92300415039062, 200.49710083007812, 163.27647399902344, 196.50918579101562, 192.52125549316406, 336.0865783691406, 336.0865783691406, 336.0865783691406, 535.4828491210938, 418.5036926269531, 383.9416809082031]",,,,
119934474,jujebot,1800356.0,6465,T0,2018-08-10 04:50:33 UTC,20860277,point_extractor_by_frame,3.4.5,"[469.7026672363281, 701.335205078125, 915.0580444335938, 555.6693725585938, 117.4779052734375, 226.1302947998047, 162.84922790527344, 118.67189025878906, 12.407470703125]","[488.06011962890625, 362.6919860839844, 375.8258056640625, 308.9627990722656, 516.7156982421875, 348.36419677734375, 320.9026184082031, 316.1266784667969, 386.5716552734375]","[461.3448181152344, 684.6194458007812]","[547.7592163085938, 423.5850830078125]",,
103558547,not-logged-in-53b75dd2a51c755fb5df,,6465,T0,2018-04-25 20:36:00 UTC,20860287,point_extractor_by_frame,3.4.5,"[451.560302734375, 90.87097930908203, 150.4890594482422, 324.8719177246094, 690.0325927734375, 913.6004028320312]","[477.31719970703125, 490.73126220703125, 393.8518981933594, 375.9664611816406, 393.8518981933594, 358.0810546875]","[611.0386352539062, 453.05078125]","[641.2669067382812, 548.85888671875]",,
