,subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
10,20860272,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000011.JPG"",""datetime"":""2015:12:22 02:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/da4f5b6e-8329-40a5-9952-9dc3991fe6bd.jpeg""}",10,2018-09-21 16:42:01 UTC,classification_count
11,20860273,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000012.JPG"",""datetime"":""2015:12:22 03:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ded10f2f-36cd-47df-9d19-d2fc1257ba52.jpeg""}",10,2018-08-04 16:59:11 UTC,classification_count
12,20860274,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000013.JPG"",""datetime"":""2015:12:22 04:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/60edf408-a865-4595-bd4b-d46f7335ce97.jpeg""}",10,2018-09-16 16:15:56 UTC,classification_count
13,20860275,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000014.JPG"",""datetime"":""2015:12:22 05:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/78648bc6-a0f0-492b-ae5d-c579a2a2c650.jpeg""}",10,2018-08-07 20:23:15 UTC,classification_count
14,20860276,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000015.JPG"",""datetime"":""2015:12:22 06:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e9feb8db-19b4-4a0b-98ab-8b9b74d8126a.jpeg""}",10,2018-09-21 20:48:18 UTC,classification_count
15,20860277,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000016.JPG"",""datetime"":""2015:12:22 07:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8dde1dc0-18e0-4e41-a691-e470c2ab5bd9.jpeg""}",10,2018-08-10 04:50:33 UTC,classification_count
16,20860278,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000017.JPG"",""datetime"":""2015:12:22 08:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/5cce7dc3-d7cb-4991-95f7-c3a48c8b7f65.jpeg""}",10,2018-08-02 14:30:52 UTC,classification_count
17,20860279,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000018.JPG"",""datetime"":""2015:12:22 09:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9c0af392-58a1-4990-b132-d38a42c23309.jpeg""}",10,2018-08-11 22:28:24 UTC,classification_count
18,20860280,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000019.JPG"",""datetime"":""2015:12:22 10:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/d9e1486c-1dab-43f4-9f16-92ed8483565a.jpeg""}",10,2018-08-29 07:48:40 UTC,classification_count
19,20860281,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000020.JPG"",""datetime"":""2015:12:22 11:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c08977c4-5888-4dde-96c4-2c29229e5462.jpeg""}",10,2018-09-14 04:02:30 UTC,classification_count
20,20860282,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000021.JPG"",""datetime"":""2015:12:22 12:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/18c5771e-d6b2-4c0f-bbf3-a097747c58f6.jpeg""}",10,2018-08-08 22:19:29 UTC,classification_count
21,20860283,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000022.JPG"",""datetime"":""2015:12:22 13:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6e03a2ce-eceb-4ce8-b87e-b50e3bb99133.jpeg""}",10,2018-09-17 17:06:09 UTC,classification_count
22,20860284,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000023.JPG"",""datetime"":""2015:12:22 14:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/894ef642-4620-4523-ab55-e1b4ef9bc407.jpeg""}",10,2018-09-21 11:27:14 UTC,classification_count
23,20860285,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000024.JPG"",""datetime"":""2015:12:22 15:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2c7c21b9-4ed0-4797-b4dc-0afa8f34022f.jpeg""}",10,2018-08-08 03:12:03 UTC,classification_count
24,20860286,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000025.JPG"",""datetime"":""2015:12:22 16:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c1b51e5a-6d46-4bba-9a04-05d0a7279b46.jpeg""}",10,2018-06-07 00:47:21 UTC,classification_count
25,20860287,6263,6465.0,20334,"{""imageid"":""GODHa2018a_000026.JPG"",""datetime"":""2015:12:22 17:00:00""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/01b0aae4-2516-4dcf-866e-d202776506ea.jpeg""}",10,2018-09-21 06:59:24 UTC,classification_count
